"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2013","Age","13-15 Years","21.5","13.5 to 32.6","86"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2012","Age","13-17 Years","62.9","55.9 to 69.4","333"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2022","Age","13-15 Years","90.5","81.7 to 95.3","159"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2011","Age","13-17 Years","30.5","22.7 to 39.7","176"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2014","Age","13-15 Years","33.5","24.2 to 44.3","128"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2015","Age","13-15 Years","31.0","21.3 to 42.7","92"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2008","Age","13-17 Years","12.7","8.1 to 19.4","133"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2010","Age","13-17 Years","27.3","20.1 to 35.9","142"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2009","Age","13-17 Years","19.5","13.8 to 26.9","176"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2015","Age","13-17 Years","36.2","28.2 to 45.1","162"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2012","Age","13-17 Years","34.9","25.7 to 45.4","154"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2013","Age","13-17 Years","26.8","19.2 to 36.1","140"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2014","Age","13-17 Years","37.5","28.8 to 47.0","174"
"≥2 Doses Hep A","","States/Local Areas","Kentucky","2020","Age","13-17 Years","90.7","85.7 to 94.1","255"
"≥2 Doses Hep A","","States/Local Areas","Kentucky","2022","Age","13-17 Years","90.0","84.1 to 93.9","276"
"≥2 Doses Hep A","","States/Local Areas","Kentucky","2021","Age","13-17 Years","91.5","86.4 to 94.8","240"
"HPV","≥3 Doses, Males","States/Local Areas","Kentucky","2015","Age","13-15 Years","19.6","12.8 to 28.7","106"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2017","Age","13-17 Years","90.1","85.6 to 93.3","372"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2018","Age","13-17 Years","91.6","87.1 to 94.7","270"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2010","Age","13-17 Years","69.1","63.1 to 74.6","309"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2009","Age","13-17 Years","68.2","62.8 to 73.2","393"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2022","Age","13-17 Years","94.4","89.5 to 97.1","276"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2019","Age","13-17 Years","95.2","91.3 to 97.3","292"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2016","Age","13-17 Years","90.2","85.8 to 93.3","333"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2015","Age","13-17 Years","82.4","77.0 to 86.8","330"
"HPV","≥3 Doses, Males","States/Local Areas","Kentucky","2015","Age","13-17 Years","17.1","11.9 to 24.1","168"
"HPV","≥3 Doses, Males","States/Local Areas","Kentucky","2014","Age","13-17 Years","13.3","7.9 to 21.3","161"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2008","Age","13-17 Years","74.5","68.3 to 79.9","296"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2012","Age","13-17 Years","71.7","65.1 to 77.5","333"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2011","Age","13-17 Years","69.6","63.4 to 75.1","382"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2013","Age","13-17 Years","76.0","69.6 to 81.4","291"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2014","Age","13-17 Years","81.0","75.0 to 85.9","335"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Kentucky","2008","Age","13-15 Years","23.9","14.5 to 36.8","64"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2020","Age","13-17 Years","96.8","93.6 to 98.4","255"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2021","Age","13-17 Years","95.3","90.8 to 97.7","240"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2021","Age","13-17 Years","94.6","90.1 to 97.1","240"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Kentucky","2015","Age","13-17 Years","26.4","21.4 to 32.2","330"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Kentucky","2014","Age","13-17 Years","25.1","19.7 to 31.4","335"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2020","Age","13-17 Years","94.2","89.9 to 96.7","255"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2021","Age","13-17 Years","87.7","81.5 to 92.1","240"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018","Age","13-17 Years","84.4","78.3 to 89.0","270"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2019","Age","13-17 Years","90.6","85.8 to 93.8","292"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2019","Age","13-17 Years","94.5","90.4 to 96.9","292"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2020","Age","13-17 Years","95.9","92.4 to 97.8","255"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Kentucky","2013","Age","13-17 Years","16.6","12.3 to 22.0","291"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2020","Age","13-17 Years","93.7","89.7 to 96.2","255"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2021","Age","13-17 Years","83.5","76.5 to 88.7","240"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2022","Age","13-17 Years","86.4","79.9 to 91.0","276"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2018","Age","13-17 Years","91.7","86.9 to 94.9","270"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2017","Age","13-17 Years","91.6","87.1 to 94.7","372"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2012","Age","13-15 Years","36.0","24.4 to 49.5","99"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2011","Age","13-15 Years","30.5","20.0 to 43.4","106"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2010","Age","13-15 Years","29.0","20.2 to 39.6","98"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2013","Age","13-17 Years","71.2","64.5 to 77.0","291"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2014","Age","13-17 Years","78.2","71.9 to 83.3","335"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2008","Age","13-17 Years","30.9","25.3 to 37.0","296"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2009","Age","13-17 Years","36.3","31.2 to 41.7","393"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2016","Age","13-17 Years","85.9","81.2 to 89.6","333"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2015","Age","13-17 Years","79.0","73.3 to 83.7","330"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2017","Age","13-17 Years","83.3","78.3 to 87.4","372"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Kentucky","2012","Age","13-17 Years","18.0","13.1 to 24.0","333"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Kentucky","2011","Age","13-17 Years","15.3","11.3 to 20.4","382"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2012","Age","13-17 Years","93.0","88.4 to 95.8","333"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2013","Age","13-17 Years","92.7","88.1 to 95.7","291"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2015","Age","13-17 Years","93.2","89.5 to 95.6","330"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2014","Age","13-17 Years","93.4","89.1 to 96.1","335"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2016","Age","13-17 Years","93.0","88.9 to 95.7","333"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Rhode Island","2024","Age","13-17 Years","92.3","83.8 to 96.6","140"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Rhode Island","2024","Age","13-17 Years","91.3","84.7 to 95.2","140"
"≥1 Dose MenACWY","","States/Local Areas","Rhode Island","2024","Age","13-17 Years","95.1","90.1 to 97.7","140"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Rhode Island","2024","Age","13-17 Years","94.6","89.4 to 97.4","140"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Rhode Island","2024","Age","13-15 Years","94.5","78.4 to 98.8","82"
"HPV","≥1 Dose, Females","States/Local Areas","Rhode Island","2024","Age","13-17 Years","91.4","81.9 to 96.1","66"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Rhode Island","2024","Age","13-15 Years","97.4","92.5 to 99.1","88"
"≥1 Dose MenACWY","","States/Local Areas","Rhode Island","2024","Age","13-15 Years","97.0","91.8 to 98.9","88"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Rhode Island","2024","Age","13-17 Years","91.7","82.6 to 96.3","131"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Rhode Island","2024","Age","13-17 Years","95.4","90.1 to 97.9","131"
"≥3 Doses HepB","","States/Local Areas","Rhode Island","2024","Age","13-17 Years","87.8","77.9 to 93.6","140"
"≥2 Doses MMR","","States/Local Areas","Rhode Island","2024","Age","13-17 Years","90.9","82.4 to 95.5","140"
"HPV","≥1 Dose, Males","States/Local Areas","Rhode Island","2024","Age","13-17 Years","91.2","80.0 to 96.4","74"
"Varicella","History of disease","States/Local Areas","Rhode Island","2024","Age","13-17 Years","NA",,
"HPV","Up-to-Date, Males","States/Local Areas","Rhode Island","2024","Age","13-15 Years","75.3","57.8 to 87.2","46"
"HPV","Up-to-Date, Females","States/Local Areas","Rhode Island","2024","Age","13-15 Years","76.7","56.9 to 89.2","42"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Rhode Island","2024","Age","13-15 Years","76.0","63.4 to 85.3","88"
"HPV","≥1 Dose, Males","States/Local Areas","Ohio","2023","Age","13-17 Years","78.7","69.4 to 85.7","152"
"HPV","Up-to-Date, Females","States/Local Areas","Ohio","2023","Age","13-15 Years","57.3","43.0 to 70.4","82"
"HPV","Up-to-Date, Females","States/Local Areas","Ohio","2023","Age","13-17 Years","65.1","53.9 to 74.9","128"
"HPV","Up-to-Date, Males","States/Local Areas","Ohio","2023","Age","13-15 Years","64.2","50.8 to 75.7","97"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Ohio","2023","Age","13-15 Years","91.1","82.8 to 95.6","164"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2023","Age","13-15 Years","60.6","50.7 to 69.7","179"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2023","Age","13-15 Years","86.5","77.7 to 92.1","179"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Ohio","2023","Age","13-15 Years","84.0","75.6 to 89.9","179"
"≥2 Doses Hep A","","States/Local Areas","Ohio","2023","Age","13-17 Years","86.7","80.5 to 91.1","280"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Ohio","2023","Age","13-17 Years","92.0","86.7 to 95.3","280"
"≥3 Doses HepB","","States/Local Areas","Ohio","2023","Age","13-17 Years","92.4","87.5 to 95.4","280"
"Varicella","History of disease","States/Local Areas","Ohio","2023","Age","13-17 Years","12.0","7.9 to 18.0","280"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Ohio","2023","Age","13-17 Years","96.2","92.1 to 98.3","252"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Ohio","2023","Age","13-17 Years","90.9","84.9 to 94.7","252"
"HPV","Up-to-Date, Males","States/Local Areas","Ohio","2023","Age","13-17 Years","61.8","51.4 to 71.3","152"
"≥2 Doses MMR","","States/Local Areas","Ohio","2023","Age","13-17 Years","93.4","88.2 to 96.4","280"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2023","Age","13-17 Years","63.4","55.9 to 70.4","280"
"HPV","≥1 Dose, Females","States/Local Areas","Ohio","2023","Age","13-17 Years","79.8","69.5 to 87.2","128"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2023","Age","13-17 Years","79.2","72.6 to 84.6","280"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2023","Age","13-17 Years","88.9","83.0 to 92.9","280"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2023","Age","13-17 Years","89.2","83.6 to 93.0","280"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Ohio","2023","Age","13-17 Years","88.0","82.4 to 92.1","280"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2018-2022","Overall","Overall","72.6","69.5 to 75.4","1492"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a Non-MSA","88.5","81.7 to 93.0","232"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2018-2022","Overall","Overall","57.2","53.9 to 60.4","1492"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a Non-MSA","60.8","52.1 to 68.9","232"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Non-Principal City","71.8","67.4 to 75.9","747"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Principal City","78.7","74.1 to 82.7","513"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Non-Principal City","56.9","52.2 to 61.5","747"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a Non-MSA","43.9","35.9 to 52.3","232"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Principal City","63.5","58.1 to 68.5","513"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a Non-MSA","85.7","78.6 to 90.7","232"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Non-Principal City","93.0","90.4 to 95.0","747"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2018-2022","Urbanicity","Living In a MSA Principal City","89.6","85.9 to 92.4","513"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2014","Age","13-17 Years","85.0","79.8 to 89.0","430"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2015","Age","13-17 Years","90.0","84.4 to 93.8","332"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2017","Age","13-17 Years","64.1","58.4 to 69.3","408"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Ohio","2016","Age","13-17 Years","56.2","49.5 to 62.8","338"
"HPV","≥1 Dose, Males","States/Local Areas","Ohio","2022","Age","13-17 Years","71.9","60.7 to 80.9","146"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2008","Age","13-15 Years","42.7","34.8 to 51.1","190"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2010","Age","13-15 Years","59.9","51.8 to 67.5","180"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2009","Age","13-15 Years","55.9","47.7 to 63.7","207"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2012","Age","13-15 Years","61.9","53.0 to 70.0","202"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2013","Age","13-15 Years","67.0","59.0 to 74.1","209"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2015","Age","13-15 Years","75.3","66.4 to 82.5","200"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2014","Age","13-15 Years","72.4","64.6 to 79.0","265"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2016","Age","13-15 Years","76.8","68.1 to 83.7","201"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2011","Age","13-15 Years","65.0","56.9 to 72.3","244"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2012","Age","13-17 Years","78.9","71.8 to 84.5","327"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2011","Age","13-17 Years","79.0","73.4 to 83.6","381"
"HPV","≥1 Dose, Males","States/Local Areas","Ohio","2020","Age","13-17 Years","77.7","69.1 to 84.4","182"
"HPV","≥1 Dose, Males","States/Local Areas","Ohio","2021","Age","13-17 Years","63.0","50.2 to 74.3","125"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2013","Age","13-17 Years","86.9","81.6 to 90.9","319"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2009","Age","13-17 Years","67.7","61.6 to 73.2","351"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2010","Age","13-17 Years","69.3","63.2 to 74.8","302"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2008","Age","13-17 Years","57.8","51.2 to 64.1","311"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2018","Age","13-15 Years","86.4","80.5 to 90.7","200"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2017","Age","13-15 Years","86.7","81.2 to 90.8","247"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2017","Age","13-17 Years","93.1","89.9 to 95.4","408"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2016","Age","13-17 Years","92.8","87.9 to 95.8","338"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2019","Age","13-15 Years","91.7","85.9 to 95.2","166"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2008","Age","13-17 Years","21.8","15.2 to 30.3","154"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2020","Age","13-15 Years","94.1","89.0 to 96.9","205"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2012","Age","13-17 Years","39.5","29.5 to 50.5","159"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2011","Age","13-17 Years","36.7","28.9 to 45.4","181"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2009","Age","13-17 Years","33.9","25.6 to 43.4","176"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2010","Age","13-17 Years","40.1","31.5 to 49.3","150"
"HPV","≥2 Doses, Females","States/Local Areas","Ohio","2013","Age","13-17 Years","47.6","38.4 to 57.0","156"
